"rec_id","state_lgd_code","district_lgd_code","sub_district_lgd_code","village_lgd_code","season","season_id","season_start_date","season_end_date","crop_code","crop_name_eng","irrigation_source","area_unit","year","timestamp","no_of_plots","no_of_farmers","crop_area_closed","crop_area_approved","createdat","updatedat","reference_id","record_id","is_view"
107147850,"27","469","4134","548489","Rabi",NULL,"","","0200400","Chickpea","अन्य सर्व्हे नंबर मधील  कुपनलिका ","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.0000","1.0000","2025-03-13 15:59:49",NULL,"20250313153709","00059152-1ef0-4ee6-a394-df62fbf457dd",False
107147851,"27","488","4240","561459","Rabi",NULL,"","","0200400","Chickpea","सरकारी कालवा","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.6700","1.6700","2025-03-13 15:59:49",NULL,"20250313153709","0006c0e3-c8f4-4e76-8d9d-758908224586",False
107147852,"27","474","3958","526304","Rabi",NULL,"","","0702000","Onion","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","55","55","36.8500","36.8500","2025-03-13 15:59:49",NULL,"20250313153709","000e7095-b9d5-4523-8718-e2c683c60911",False
107147853,"27","490","4188","555468","Rabi",NULL,"","","0200400","Chickpea","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.0950","0.0950","2025-03-13 15:59:49",NULL,"20250313153709","0007a4e7-8e80-43bc-a6a6-34d54ab90b9a",False
107147854,"27","469","4139","549106","Rabi",NULL,"","","0702000","Onion","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.4100","0.4100","2025-03-13 15:59:49",NULL,"20250313153709","0007e30e-e4c6-41a3-ba37-846f9cad554a",False
107147855,"27","478","3962","526876","Rabi",NULL,"","","0500800","Banana","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.1937","0.1937","2025-03-13 15:59:49",NULL,"20250313153709","00085b91-87c5-44cc-8cdf-74b92834ef03",False
107147856,"27","470","4215","558847","Rabi",NULL,"","","0200400","Chickpea","नाला","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.1850","0.1850","2025-03-13 15:59:49",NULL,"20250313153709","00096cd9-a129-4b2d-80d5-a0e89d6cfd0d",False
107147857,"27","469","4135","548575","Rabi",NULL,"","","0101000","Maize","नाला","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.8000","0.8000","2025-03-13 15:59:49",NULL,"20250313153709","000abad4-34d3-4ff8-aff3-e6b00aa00678",False
107147858,"27","500","4090","543530","Rabi",NULL,"","","0300200","Sugarcane","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","2.0000","2.0000","2025-03-13 15:59:49",NULL,"20250313153709","000fea08-ea1e-4f60-a5da-7e872ee823c4",False
107147859,"27","480","4292","567933","Rabi",NULL,"","","1100500","Guinea Grass","नदी","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.1800","0.1800","2025-03-13 15:59:49",NULL,"20250313153709","000bb092-7d7b-418b-8752-5c2e58aa0854",False
107147860,"27","478","3972","527863","Rabi",NULL,"","","0101901","Wheat","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","8","8","6.6300","6.6300","2025-03-13 15:59:49",NULL,"20250313153709","000cba39-c99b-40fb-9ae5-27e2d90ce103",False
107147861,"27","478","3971","527664","Rabi",NULL,"","","0300200","Sugarcane","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.6300","0.6300","2025-03-13 15:59:49",NULL,"20250313153709","000e0794-a469-4580-879b-bd5cdb6d49e4",False
107147862,"27","469","4140","549189","Rabi",NULL,"","","0702000","Onion","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","9","9","5.6600","5.6600","2025-03-13 15:59:49",NULL,"20250313153709","000f3553-9aac-4ce3-a55c-3c3c03351c44",False
107147863,"27","490","4200","557035","Rabi",NULL,"","","0101300","Pearl Millet","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","3","3","0.8600","0.8600","2025-03-13 15:59:49",NULL,"20250313153709","001054aa-fea8-461f-96e8-2131eb791426",False
107147864,"27","466","4207","557841","Rabi",NULL,"","","0300200","Sugarcane","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","30","30","17.6700","17.6700","2025-03-13 15:59:49",NULL,"20250313153709","000169c8-7a96-484a-92c9-ed946df0f716",False
107147865,"27","477","4115","546405","Rabi",NULL,"","","0200400","Chickpea","नदी","Hectare","2024-2025","2025-03-12 20:14:22.294777","30","30","19.7300","19.7300","2025-03-13 15:59:49",NULL,"20250313153709","00023ce3-64d0-4fec-b544-f11fbff6a2b1",False
107147866,"27","466","4202","557417","Rabi",NULL,"","","0800400","Groundnut","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","4","4","1.5500","1.5500","2025-03-13 15:59:49",NULL,"20250313153709","0002b11d-7180-4b7d-b726-4be6c7da657a",False
107147867,"27","490","4193","556203","Rabi",NULL,"","","0101800","Sorghum","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","15","15","5.1800","5.1800","2025-03-13 15:59:49",NULL,"20250313153709","00034cb2-3410-49b0-a16a-71392bb1608f",False
107147868,"27","485","4109","545521","Rabi",NULL,"","","0201200","Pigeon Pea","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","2","2","3.0800","3.0800","2025-03-13 15:59:49",NULL,"20250313153709","0003d1d7-7202-448c-9990-93f5b5d13636",False
107147869,"27","481","4230","560503","Rabi",NULL,"","","0200400","Chickpea","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","36","36","26.1850","26.1850","2025-03-13 15:59:49",NULL,"20250313153709","00004c0f-b69b-4b28-ba03-0a094472d53c",False
107147870,"27","490","4188","555508","Rabi",NULL,"","","0200400","Chickpea","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.4000","0.4000","2025-03-13 15:59:49",NULL,"20250313153709","000053aa-7f73-4cb8-9b62-b14ea61c8cfc",False
107147871,"27","491","4182","554761","Rabi",NULL,"","","0503200","Mango","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","21","21","15.5000","15.5000","2025-03-13 15:59:49",NULL,"20250313153709","00008854-0f00-40df-babc-ba251003c4ab",False
107147872,"27","466","4211","558304","Rabi",NULL,"","","0501500","Custard Apple","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.2000","1.2000","2025-03-13 15:59:49",NULL,"20250313153709","0000dcc9-0c1c-42cd-b6c1-69ca37a821e4",False
107147873,"27","478","3968","527382","Rabi",NULL,"","","0101000","Maize","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","4","4","3.4600","3.4600","2025-03-13 15:59:49",NULL,"20250313153709","00016765-5f6e-4005-bc4c-856ff1abaa67",False
107147874,"27","484","4027","535417","Rabi",NULL,"","","0503300","Mosami","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","3","3","4.3000","4.3000","2025-03-13 15:59:49",NULL,"20250313153709","00024188-c8af-43b6-bb94-ae314f711ff8",False
107147875,"27","469","4137","548804","Rabi",NULL,"","","0501600","Dragon Fruit","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.8100","0.8100","2025-03-13 15:59:49",NULL,"20250313153709","0002b2b0-f9ca-40a3-a33c-2e1dcbde1dc4",False
107147876,"27","472","3980","528688","Rabi",NULL,"","","0200400","Chickpea","सरकारी कालवा","Hectare","2024-2025","2025-03-12 20:14:22.294777","2","2","6.5200","6.5200","2025-03-13 15:59:49",NULL,"20250313153709","0003d7a2-6287-4cca-8ec6-a8db4f852f77",False
107147877,"27","472","3986","529460","Rabi",NULL,"","","0702000","Onion","बंधारा","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.4000","0.4000","2025-03-13 15:59:49",NULL,"20250313153709","0004fd14-adff-4405-92ae-e1386c2e823b",False
107147878,"27","485","4096","544208","Rabi",NULL,"","","0200400","Chickpea","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.6000","1.6000","2025-03-13 15:59:49",NULL,"20250313153709","0006155a-2fb8-4280-8602-0cb74a3f49be",False
107147879,"27","470","4216","558898","Rabi",NULL,"","","0900100","Diploid Cotton","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","23","23","13.7900","13.7900","2025-03-13 15:59:49",NULL,"20250313153709","0006845e-2fb6-42ea-84f2-e98a8ea90fd7",False
107147880,"27","498","4022","534745","Rabi",NULL,"","","0200400","Chickpea","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","18","18","32.2500","32.2500","2025-03-13 15:59:49",NULL,"20250313153709","0006fd73-9386-45fc-b26a-38b88032cf77",False
107147881,"27","478","3974","528147","Rabi",NULL,"","","0500800","Banana","सरकारी कालवा","Hectare","2024-2025","2025-03-12 20:14:22.294777","9","9","8.6600","8.6600","2025-03-13 15:59:49",NULL,"20250313153709","00082248-156d-43ad-869b-e0338d36c9ea",False
107147882,"27","470","4225","560035","Rabi",NULL,"","","0801200","Soybean","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.6000","0.6000","2025-03-13 15:59:49",NULL,"20250313153709","00095c27-9b7d-466c-ac88-2ce8480bcb97",False
107147883,"27","496","4254","562857","Rabi",NULL,"","","0800400","Groundnut","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","4","4","2.7100","2.7100","2025-03-13 15:59:49",NULL,"20250313153709","000a2844-e39d-4fd3-b485-18b653477e56",False
107147884,"27","474","3958","526401","Rabi",NULL,"","","0702000","Onion","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","2","2","3.2800","3.2800","2025-03-13 15:59:49",NULL,"20250313153709","000b0ca3-d46c-4908-9e69-0164a6da48e9",False
107147885,"27","490","4191","556039","Rabi",NULL,"","","0500100","Acid Lime","नदी","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.3000","0.3000","2025-03-13 15:59:49",NULL,"20250313153709","000b2f01-7115-454c-b314-c23731edd165",False
107147886,"27","487","4153","551023","Rabi",NULL,"","","0400700","Chilli","तलाव","Hectare","2024-2025","2025-03-12 20:14:22.294777","4","4","1.0000","1.0000","2025-03-13 15:59:49",NULL,"20250313153709","000b6b98-7064-445b-8544-8028eebc724a",False
107147887,"27","478","3974","528038","Rabi",NULL,"","","0200500","Cowpea","कालवा उपसा सिंचन","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","2.0000","2.0000","2025-03-13 15:59:49",NULL,"20250313153709","00022162-67a1-4c06-a3e6-248b008af651",False
107147888,"27","472","3982","529054","Rabi",NULL,"","","0402000","Nigella","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","3","3","3.0200","3.0200","2025-03-13 15:59:49",NULL,"20250313153709","0002a021-1bff-4c27-b745-2a9e5a0588ba",False
107147889,"27","494","4264","564440","Rabi",NULL,"","","0300200","Sugarcane","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.1534","0.1534","2025-03-13 15:59:49",NULL,"20250313153709","00039d3a-3e78-4725-b726-77b3934ae851",False
107147890,"27","487","4154","551194","Rabi",NULL,"","","0501500","Custard Apple","शेततळे","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.7000","0.7000","2025-03-13 15:59:49",NULL,"20250313153709","00046be3-807c-4af9-aa8e-239bb8a9db03",False
107147891,"27","496","4249","562351","Rabi",NULL,"","","0502100","Indian Gooseberry","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.2000","0.2000","2025-03-13 15:59:49",NULL,"20250313153709","000504c8-ac53-458e-af82-b5ac08c382a6",False
107147892,"27","490","4187","555407","Rabi",NULL,"","","0503200","Mango","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.0100","0.0100","2025-03-13 15:59:49",NULL,"20250313153709","000679cf-8a00-473b-8862-1fedc1f3e983",False
107147893,"27","487","4147","550390","Rabi",NULL,"","","0101000","Maize","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.2300","1.2300","2025-03-13 15:59:49",NULL,"20250313153709","0006e658-e856-4c52-bbae-3c06c6c1e242",False
107147894,"27","490","4200","557055","Rabi",NULL,"","","0200400","Chickpea","सरकारी कालवा","Hectare","2024-2025","2025-03-12 20:14:22.294777","3","3","1.0300","1.0300","2025-03-13 15:59:49",NULL,"20250313153709","00070323-a3b8-455b-ad3b-06e110a9f820",False
107147895,"27","471","4043","537515","Rabi",NULL,"","","0801200","Soybean","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","2","2","2.8000","2.8000","2025-03-13 15:59:49",NULL,"20250313153709","000f0abd-e993-441f-8e17-71a5f9e487ea",False
107147896,"27","466","4211","558293","Rabi",NULL,"","","0200601","Pea","बंधारा","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.6000","0.6000","2025-03-13 15:59:49",NULL,"20250313153709","00083bd2-c34d-464f-88a8-0f398f92a3ed",False
107147897,"27","472","3983","529165","Rabi",NULL,"","","0702000","Onion","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","24","24","31.9775","31.9775","2025-03-13 15:59:49",NULL,"20250313153709","000938dc-1dac-4014-8f6a-7f4db8530d3b",False
107147898,"27","490","4198","556738","Rabi",NULL,"","","0201200","Pigeon Pea","नदी","Hectare","2024-2025","2025-03-12 20:14:22.294777","4","4","1.7740","1.7740","2025-03-13 15:59:49",NULL,"20250313153709","000f8beb-a380-4839-8b7f-8ddd92549a6f",False
